ChemicalID,DiseaseID,label
D011720,MESH:D002446,0
C035353,MESH:D016483,1
D017291,MESH:D011014,1
C008922,MESH:D010262,0
C528663,MESH:D009008,0
D002185,MESH:D001862,1
D004365,MESH:D003139,1
C028513,MESH:C562730,0
C473468,MESH:D020201,0
C436447,MESH:D006848,0
C070020,MESH:D000080365,0
C047825,MESH:D009374,1
C053500,MESH:D006973,1
D011241,MESH:D006996,1
C096921,MESH:D014848,0
C495419,MESH:D009437,0
D010646,MESH:D006948,1
C058539,MESH:D002422,0
C093026,MESH:D004195,1
C033706,MESH:D013614,0
C063942,MESH:D054198,1
D010672,MESH:D001282,1
D004317,MESH:D012468,1
C500582,MESH:D011658,1
D004656,MESH:D014517,1
D000068656,MESH:D011008,0
C046649,MESH:D010300,1
D004656,MESH:D006332,1
C012102,MESH:D006521,0
D002166,MESH:D055752,0
D020913,MESH:D008708,0
C077956,MESH:D003092,1
C113337,MESH:D010167,0
C010480,MESH:D012878,1
C093788,MESH:D005131,0
C083832,MESH:D053840,0
C100679,MESH:D015473,0
D000077425,MESH:D012872,0
D000068677,MESH:D008107,1
D012460,MESH:D006965,1
D013148,MESH:D017379,1
D000077269,MESH:D009101,1
C031655,MESH:D007249,1
C045856,MESH:D014353,0
C008842,MESH:D012078,0
C018986,MESH:D005873,1
D000077150,MESH:D009369,1
D001971,MESH:D001480,1
C506830,MESH:D009877,0
C482648,MESH:D001146,0
C076881,MESH:D008444,0
C013765,MESH:D006473,0
D013792,MESH:D011537,1
C521871,MESH:D000361,0
C000630836,MESH:D018410,0
D008775,MESH:D006689,1
D002229,MESH:C538173,0
C441128,MESH:D018149,1
C086910,MESH:D054068,0
C000592353,MESH:D017453,0
D007464,MESH:D019282,0
C090413,MESH:D010182,0
D001961,MESH:D006344,0
C047681,MESH:D012080,0
D004318,MESH:D005393,1
D002331,MESH:D013733,1
D014223,MESH:D001145,1
D024502,MESH:D008113,1
C015586,MESH:D058065,0
C034532,MESH:D000086382,1
C023610,MESH:D013035,1
D009947,MESH:D011317,0
C014477,MESH:D000096142,0
D004006,MESH:D017194,1
C044959,MESH:D009421,0
C013592,MESH:D003457,1
D004918,MESH:D011317,0
C086539,MESH:D008109,0
D002762,MESH:D006996,1
D000961,MESH:D011123,0
C507380,MESH:D020386,0
D001398,MESH:D000038,1
D011189,MESH:D012128,0
D017367,MESH:D010554,1
D014580,MESH:D002769,1
D011447,MESH:D002578,0
D020123,MESH:D058426,1
D010165,MESH:C535700,0
D003647,MESH:D003103,0
C087670,MESH:D007333,1
C516309,MESH:D012585,0
D009966,MESH:D060050,0
C581325,MESH:D018781,0
C425564,MESH:D015161,0
C028995,MESH:D013575,0
C488382,MESH:D001005,0
C526957,MESH:D006973,1
D016576,MESH:D018461,1
D008788,MESH:D004487,1
D011090,MESH:D011595,0
C588213,MESH:D008223,0
D000068836,MESH:D010236,0
D014750,MESH:D012008,1
D005475,MESH:D010259,1
D015118,MESH:D007414,1
C097284,MESH:D009765,1
C533860,MESH:D001170,0
C575881,MESH:D006332,1
C045816,MESH:D002310,0
C572961,MESH:D013121,0
C547323,MESH:D017029,0
D005557,MESH:D015207,0
C021092,MESH:D015356,0
D016291,MESH:D013375,1
C543150,MESH:D000647,1
D000969,MESH:D009347,0
C018370,MESH:D002908,0
C503634,MESH:D014388,0
C099015,MESH:D002310,0
C010846,MESH:D019547,0
